Timestamp(s),yaw(deg),pitch(deg),roll(deg),vx(m_s),vy(m_s),vz(m_s),ax(m_s2),ay(m_s2),az(m_s2),motor1.strength,motor2.strength,motor3.strength,motor4.strength
0.000,326.559,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
0.505,326.559,0.000,0.000,0.0000,0.1075,0.0000,0.0000,0.2129,0.0000,0.000,0.000,0.000,0.000
1.008,326.559,0.000,0.000,0.0000,1.2797,0.0000,0.0000,2.3320,0.0000,0.000,0.000,0.000,0.000
1.510,326.559,0.000,0.000,0.0000,1.1115,0.0000,0.0000,-0.3347,0.0000,0.000,0.000,0.000,0.000
2.025,326.559,0.000,0.000,0.0000,1.2715,0.0000,0.0000,0.3108,0.0000,0.000,0.000,0.000,0.000
2.526,326.559,0.000,0.000,0.0000,1.1979,0.0000,0.0000,-0.1471,0.0000,0.000,0.000,0.000,0.000
3.033,326.559,0.000,0.000,0.0000,1.3011,0.0000,0.0000,0.2035,0.0000,0.000,0.000,0.000,0.000
3.547,326.559,0.000,0.000,0.0000,1.4566,0.0000,0.0000,0.3027,0.0000,0.000,0.000,0.000,0.000
4.048,326.559,0.000,0.000,0.0000,1.3860,0.0000,0.0000,-0.1408,0.0000,0.000,0.000,0.000,0.000
4.549,326.559,0.000,0.000,0.0000,1.1870,0.0000,0.0000,-0.3972,0.0000,0.000,0.000,0.000,0.000
5.050,326.559,0.000,0.000,0.0000,1.1165,0.0000,0.0000,-0.1408,0.0000,0.000,0.000,0.000,0.000
5.551,326.559,0.000,0.000,0.0000,1.1709,0.0000,0.0000,0.1086,0.0000,0.000,0.000,0.000,0.000
6.052,326.559,0.000,0.000,0.0000,1.2087,0.0000,0.0000,0.0753,0.0000,0.000,0.000,0.000,0.000
6.559,326.559,0.000,0.000,0.0000,1.3671,0.0000,0.0000,0.3125,0.0000,0.000,0.000,0.000,0.000
7.060,326.559,0.000,0.000,0.0000,0.9545,0.0000,0.0000,-0.8237,0.0000,0.000,0.000,0.000,0.000
7.561,326.559,0.000,0.000,0.0000,-0.0890,0.0000,0.0000,-2.0814,0.0000,0.000,0.000,0.000,0.000
8.062,326.559,0.000,0.000,0.0000,-0.1173,0.0000,0.0000,-0.0565,0.0000,0.000,0.000,0.000,0.000
