Timestamp,x.velocity,y.velocity,z.velocity,x.acceleration,y.acceleration,z.acceleration,1.x,1.y,1.z,1.euclidean_dist,2.x,2.y,2.z,2.euclidean_dist,3.x,3.y,3.z,3.euclidean_dist,4.x,4.y,4.z,4.euclidean_dist,5.x,5.y,5.z,5.euclidean_dist,6.x,6.y,6.z,6.euclidean_dist,7.x,7.y,7.z,7.euclidean_dist,8.x,8.y,8.z,8.euclidean_dist,9.x,9.y,9.z,9.euclidean_dist,10.x,10.y,10.z,10.euclidean_dist,11.x,11.y,11.z,11.euclidean_dist,12.x,12.y,12.z,12.euclidean_dist,13.x,13.y,13.z,13.euclidean_dist,14.x,14.y,14.z,14.euclidean_dist,15.x,15.y,15.z,15.euclidean_dist,16.x,16.y,16.z,16.euclidean_dist,17.x,17.y,17.z,17.euclidean_dist,18.x,18.y,18.z,18.euclidean_dist,19.x,19.y,19.z,19.euclidean_dist,20.x,20.y,20.z,20.euclidean_dist,21.x,21.y,21.z,21.euclidean_dist,22.x,22.y,22.z,22.euclidean_dist,23.x,23.y,23.z,23.euclidean_dist,24.x,24.y,24.z,24.euclidean_dist,25.x,25.y,25.z,25.euclidean_dist,26.x,26.y,26.z,26.euclidean_dist,27.x,27.y,27.z,27.euclidean_dist,28.x,28.y,28.z,28.euclidean_dist,29.x,29.y,29.z,29.euclidean_dist,30.x,30.y,30.z,30.euclidean_dist,31.x,31.y,31.z,31.euclidean_dist,32.x,32.y,32.z,32.euclidean_dist,33.x,33.y,33.z,33.euclidean_dist,34.x,34.y,34.z,34.euclidean_dist,35.x,35.y,35.z,35.euclidean_dist,36.x,36.y,36.z,36.euclidean_dist
0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.611,4.130,7.214,10.000,6.971,4.130,3.435,6.473,7.692,4.130,2.465,5.929,8.519,4.130,1.845,5.927,9.657,4.130,1.431,6.476,5.947,4.130,-1.837,1.562,5.828,4.130,-2.161,1.324,5.738,4.130,-2.407,1.180,5.664,4.130,-2.609,1.094,5.598,4.130,-2.790,1.050,5.670,4.130,-3.015,1.184,5.828,4.130,-3.354,1.479,6.101,4.130,-3.943,2.052,10.758,4.130,-10.431,10.000,7.308,4.130,-7.676,5.789,6.250,4.130,-7.676,5.370,5.308,4.130,-7.676,5.153,4.412,4.130,-7.676,5.103,3.507,4.130,-7.676,5.210,2.533,4.130,-7.676,5.492,1.877,4.130,-6.924,5.115,-2.092,4.130,-10.033,10.000,-3.285,4.130,-8.763,10.000,-4.240,4.130,-7.305,10.000,-4.928,4.130,-5.703,10.000,-5.327,4.130,-4.006,10.000,4.436,4.130,-2.571,0.134,4.461,4.130,-2.553,0.111,4.469,4.130,-2.535,0.109,4.469,4.130,-2.513,0.119,-2.887,4.130,4.086,10.000,-1.617,4.130,5.280,10.000,-0.159,4.130,6.235,10.000,1.443,4.130,6.923,10.000,3.140,4.130,7.322,10.000,4.880,4.130,7.420,10.000
0.502,-0.481,-0.004,0.120,-0.961,-0.008,0.240,6.031,4.127,7.339,10.000,7.716,4.127,6.894,10.000,7.333,4.128,2.729,6.044,8.309,4.128,2.262,6.218,9.036,4.128,1.463,6.162,12.972,4.127,2.516,10.000,5.912,4.128,-1.934,1.685,5.795,4.128,-2.252,1.489,5.700,4.128,-2.511,1.370,5.617,4.128,-2.738,1.306,5.661,4.128,-2.995,1.414,5.840,4.128,-3.380,1.739,6.652,4.128,-4.450,3.022,10.786,4.127,-10.153,10.000,7.334,4.128,-7.676,5.971,6.229,4.128,-7.676,5.499,5.259,4.128,-7.676,5.243,4.349,4.128,-7.676,5.160,3.439,4.128,-7.676,5.237,2.473,4.128,-7.676,5.484,-0.639,4.127,-11.194,10.000,-2.070,4.127,-10.199,10.000,-3.307,4.127,-8.971,10.000,-4.312,4.127,-7.547,10.000,-5.054,4.127,-5.970,10.000,-5.512,4.127,-4.288,10.000,-5.670,4.127,-2.552,10.000,-5.524,4.127,-0.815,10.000,-5.079,4.127,0.870,10.000,-3.456,4.127,1.942,8.972,-3.354,4.127,3.884,10.000,-2.126,4.127,5.121,10.000,-0.701,4.127,6.126,10.000,0.876,4.127,6.869,10.000,2.558,4.127,7.326,10.000,4.294,4.127,7.484,10.000
1.004,-0.105,0.003,0.005,0.751,0.015,-0.230,6.015,4.130,7.335,10.000,7.698,4.130,6.883,10.000,7.312,4.130,2.742,6.069,8.312,4.130,2.294,6.275,9.018,4.130,1.464,6.187,12.938,4.130,2.486,10.000,5.918,4.130,-1.916,1.746,5.797,4.130,-2.245,1.543,5.699,4.130,-2.513,1.422,5.613,4.130,-2.749,1.356,5.673,4.130,-3.021,1.485,5.862,4.130,-3.428,1.830,6.697,4.130,-4.544,3.159,10.705,4.130,-10.174,10.000,7.258,4.130,-7.676,5.961,6.156,4.130,-7.676,5.494,5.187,4.130,-7.676,5.242,4.277,4.130,-7.676,5.163,3.367,4.130,-7.676,5.243,2.398,4.130,-7.676,5.494,-0.723,4.130,-11.173,10.000,-2.151,4.130,-10.173,10.000,-3.383,4.130,-8.941,10.000,-4.383,4.130,-7.513,10.000,-5.120,4.130,-5.933,10.000,-5.571,4.130,-4.249,10.000,-5.723,4.130,-2.512,10.000,-5.570,4.130,-0.776,10.000,-5.119,4.130,0.908,10.000,-3.446,4.130,1.947,8.918,-3.382,4.130,3.915,10.000,-2.150,4.130,5.148,10.000,-0.722,4.130,6.147,10.000,0.858,4.130,6.884,10.000,2.542,4.130,7.335,10.000,4.278,4.130,7.487,10.000
1.505,-0.081,0.001,0.004,0.049,-0.004,-0.002,5.979,4.130,7.336,10.000,7.662,4.130,6.884,10.000,7.285,4.130,2.761,6.090,8.314,4.130,2.342,6.339,8.982,4.130,1.465,6.191,12.900,4.130,2.484,10.000,5.925,4.130,-1.898,1.795,5.801,4.130,-2.237,1.588,5.700,4.130,-2.512,1.463,5.611,4.130,-2.755,1.395,5.681,4.130,-3.038,1.537,5.876,4.130,-3.459,1.894,6.724,4.130,-4.601,3.248,10.661,4.130,-10.175,10.000,7.215,4.130,-7.676,5.962,6.114,4.130,-7.676,5.495,5.145,4.130,-7.676,5.244,4.234,4.130,-7.676,5.165,3.323,4.130,-7.676,5.245,2.354,4.130,-7.676,5.497,-0.768,4.130,-11.169,10.000,-2.195,4.130,-10.168,10.000,-3.427,4.130,-8.935,10.000,-4.426,4.130,-7.507,10.000,-5.162,4.130,-5.926,10.000,-5.612,4.130,-4.242,10.000,-5.763,4.130,-2.506,10.000,-5.610,4.130,-0.769,10.000,-5.158,4.130,0.914,10.000,-3.461,4.130,1.939,8.892,-3.420,4.130,3.921,10.000,-2.187,4.130,5.153,10.000,-0.758,4.130,6.152,10.000,0.822,4.130,6.887,10.000,2.506,4.130,7.338,10.000,4.243,4.130,7.489,10.000
2.007,-0.063,0.000,0.003,0.036,-0.001,-0.002,5.948,4.130,7.337,10.000,7.632,4.130,6.885,10.000,7.263,4.130,2.778,6.108,8.317,4.130,2.384,6.391,8.951,4.130,1.467,6.192,12.869,4.130,2.485,10.000,5.930,4.130,-1.884,1.835,5.803,4.130,-2.229,1.622,5.700,4.130,-2.511,1.495,5.610,4.130,-2.758,1.426,5.687,4.130,-3.050,1.576,5.887,4.130,-3.482,1.942,6.744,4.130,-4.643,3.316,7.876,4.130,-6.890,5.714,7.184,4.130,-7.676,5.963,6.082,4.130,-7.676,5.496,5.113,4.130,-7.676,5.245,4.202,4.130,-7.676,5.166,3.291,4.130,-7.676,5.246,2.322,4.130,-7.676,5.499,-0.800,4.130,-11.167,10.000,-2.227,4.130,-10.167,10.000,-3.459,4.130,-8.933,10.000,-4.458,4.130,-7.505,10.000,-5.193,4.130,-5.924,10.000,-5.644,4.130,-4.240,10.000,-5.794,4.130,-2.504,10.000,-5.641,4.130,-0.767,10.000,-5.189,4.130,0.916,10.000,-3.476,4.130,1.931,8.874,-3.451,4.130,3.923,10.000,-2.218,4.130,5.154,10.000,-0.789,4.130,6.153,10.000,0.791,4.130,6.889,10.000,2.475,4.130,7.339,10.000,4.212,4.130,7.490,10.000
2.508,-0.049,0.000,0.002,0.028,0.000,-0.001,5.924,4.130,7.338,10.000,7.607,4.130,6.886,10.000,7.245,4.130,2.791,6.122,8.319,4.130,2.416,6.432,8.927,4.130,1.468,6.192,12.845,4.130,2.486,10.000,5.934,4.130,-1.872,1.865,5.805,4.130,-2.224,1.649,5.701,4.130,-2.510,1.519,5.608,4.130,-2.762,1.450,5.691,4.130,-3.060,1.607,5.895,4.130,-3.500,1.980,6.760,4.130,-4.675,3.368,7.852,4.130,-6.890,5.716,7.160,4.130,-7.676,5.964,6.058,4.130,-7.676,5.497,5.089,4.130,-7.676,5.246,4.178,4.130,-7.676,5.167,3.267,4.130,-7.676,5.247,2.297,4.130,-7.676,5.500,-0.824,4.130,-11.166,10.000,-2.252,4.130,-10.165,10.000,-3.483,4.130,-8.932,10.000,-4.482,4.130,-7.504,10.000,-5.218,4.130,-5.923,10.000,-5.668,4.130,-4.239,10.000,-5.819,4.130,-2.503,10.000,-5.666,4.130,-0.766,10.000,-5.214,4.130,0.917,10.000,-3.489,4.130,1.926,8.859,-3.475,4.130,3.924,10.000,-2.242,4.130,5.156,10.000,-0.813,4.130,6.154,10.000,0.767,4.130,6.890,10.000,2.451,4.130,7.340,10.000,4.187,4.130,7.491,10.000
3.010,-0.038,0.000,0.002,0.021,0.000,-0.001,5.905,4.130,7.339,10.000,7.588,4.130,6.887,10.000,7.232,4.130,2.802,6.134,8.320,4.130,2.441,6.464,8.908,4.130,1.469,6.192,12.825,4.130,2.487,10.000,5.937,4.130,-1.863,1.889,5.807,4.130,-2.219,1.670,5.701,4.130,-2.509,1.539,5.608,4.130,-2.764,1.468,5.694,4.130,-3.067,1.631,5.902,4.130,-3.514,2.010,6.772,4.130,-4.700,3.408,7.834,4.130,-6.890,5.717,7.142,4.130,-7.676,5.965,6.039,4.130,-7.676,5.498,5.070,4.130,-7.676,5.247,4.159,4.130,-7.676,5.168,3.248,4.130,-7.676,5.248,2.277,4.130,-7.676,5.501,-0.843,4.130,-11.165,10.000,-2.271,4.130,-10.165,10.000,-3.502,4.130,-8.931,10.000,-4.501,4.130,-7.503,10.000,-5.237,4.130,-5.922,10.000,-5.687,4.130,-4.238,10.000,-5.838,4.130,-2.502,10.000,-5.685,4.130,-0.765,10.000,-5.233,4.130,0.918,10.000,-3.498,4.130,1.921,8.848,-3.494,4.130,3.925,10.000,-2.261,4.130,5.156,10.000,-0.832,4.130,6.155,10.000,0.748,4.130,6.891,10.000,2.432,4.130,7.341,10.000,4.168,4.130,7.492,10.000
3.511,-0.030,0.027,0.001,0.017,0.055,-0.001,5.890,4.144,7.340,10.000,7.573,4.144,6.887,10.000,7.221,4.144,2.809,6.141,8.324,4.144,2.463,6.492,8.894,4.144,1.471,6.193,12.811,4.144,2.487,10.000,5.940,4.144,-1.856,1.907,5.808,4.144,-2.216,1.686,5.701,4.144,-2.508,1.554,5.607,4.144,-2.766,1.482,5.697,4.144,-3.073,1.649,5.907,4.144,-3.525,2.032,6.783,4.144,-4.722,3.443,7.820,4.144,-6.890,5.718,7.127,4.144,-7.676,5.966,6.025,4.144,-7.676,5.499,5.055,4.144,-7.676,5.248,4.144,4.144,-7.676,5.169,3.233,4.144,-7.676,5.249,2.275,4.144,-7.643,5.466,-0.858,4.144,-11.165,10.000,-2.285,4.144,-10.164,10.000,-3.517,4.144,-8.930,10.000,-4.516,4.144,-7.502,10.000,-5.252,4.144,-5.922,10.000,-5.702,4.144,-4.238,10.000,-5.853,4.144,-2.501,10.000,-5.700,4.144,-0.765,10.000,-5.247,4.144,0.919,10.000,-3.504,4.144,1.916,8.838,-3.509,4.144,3.925,10.000,-2.276,4.144,5.157,10.000,-0.847,4.144,6.156,10.000,0.733,4.144,6.892,10.000,2.417,4.144,7.342,10.000,4.154,4.144,7.493,10.000
4.012,-0.023,1.487,0.001,0.013,2.919,-0.001,5.878,4.888,7.340,10.000,7.562,4.888,6.888,10.000,7.183,4.888,2.764,6.088,8.237,4.888,2.375,6.376,9.810,4.888,2.248,7.403,12.799,4.888,2.488,10.000,6.108,4.888,-1.790,2.099,5.964,4.888,-2.186,1.856,5.846,4.888,-2.508,1.710,5.742,4.888,-2.791,1.631,5.879,4.888,-3.143,1.855,6.115,4.888,-3.651,2.286,11.792,4.888,-8.940,10.000,10.559,4.888,-10.171,10.000,6.663,4.888,-6.891,5.060,6.014,4.888,-7.676,5.500,5.044,4.888,-7.676,5.248,4.133,4.888,-7.676,5.169,3.313,4.888,-7.157,4.723,0.710,4.888,-11.902,10.000,-0.870,4.888,-11.164,10.000,-2.297,4.888,-10.163,10.000,-3.529,4.888,-8.930,10.000,-4.528,4.888,-7.501,10.000,-5.263,4.888,-5.921,10.000,-5.713,4.888,-4.237,10.000,-5.864,4.888,-2.501,10.000,-5.711,4.888,-0.764,10.000,-5.259,4.888,0.919,10.000,-3.767,4.888,2.062,9.129,-3.521,4.888,3.926,10.000,-2.287,4.888,5.158,10.000,-0.859,4.888,6.157,10.000,0.721,4.888,6.892,10.000,2.405,4.888,7.342,10.000,4.142,4.888,7.493,10.000
4.513,-0.018,1.593,0.001,0.010,0.212,0.000,5.869,5.684,7.341,10.000,7.553,5.684,6.888,10.000,7.521,5.684,3.364,6.781,8.602,5.684,2.820,6.957,10.100,5.684,2.499,7.793,12.790,5.684,2.488,10.000,13.526,5.684,0.908,10.000,13.976,5.684,-0.776,10.000,14.127,5.684,-2.513,10.000,13.974,5.684,-4.249,10.000,13.522,5.684,-5.933,10.000,12.784,5.684,-7.512,10.000,11.783,5.684,-8.939,10.000,10.550,5.684,-10.171,10.000,9.121,5.684,-11.170,10.000,5.719,5.684,-6.890,4.664,5.035,5.684,-7.676,5.249,4.124,5.684,-6.924,4.418,2.384,5.684,-12.353,10.000,0.701,5.684,-11.901,10.000,-0.879,5.684,-11.164,10.000,-2.306,5.684,-10.163,10.000,-3.538,5.684,-8.930,10.000,-4.537,5.684,-7.501,10.000,-5.272,5.684,-5.921,10.000,-5.722,5.684,-4.237,10.000,-5.873,5.684,-2.500,10.000,-5.720,5.684,-0.764,10.000,-5.268,5.684,0.920,10.000,-4.530,5.684,2.499,10.000,-3.530,5.684,3.926,10.000,-2.296,5.684,5.158,10.000,-0.868,5.684,6.157,10.000,0.713,5.684,6.893,10.000,2.397,5.684,7.343,10.000,4.133,5.684,7.494,10.000
